step,k
0,0
1000,0
2000,8.696566776807512e-10
3000,1.3852753569634103e-08
4000,5.0691862023751364e-08
5000,1.1028840403469619e-07
6000,1.7823404197222095e-07
7000,2.3066630942069333e-07
8000,2.3728339445088656e-07
9000,1.638205228476695e-07
10000,-2.5115976541721794e-08
11000,-3.626845527012057e-07
12000,-8.761914757303694e-07
13000,-1.5836253591334195e-06
14000,-2.490716133200809e-06
15000,-3.588774855127092e-06
16000,-4.853434749299989e-06
17000,-6.244285392408749e-06
18000,-7.705303556126285e-06
19000,-9.165940197591158e-06
20000,-1.0542699004682765e-05
21000,-1.174105584679363e-05
22000,-1.2657574186543117e-05
23000,-1.318207989523712e-05
24000,-1.3199810568482486e-05
25000,-1.2593477906342878e-05
26000,-1.124517775843735e-05
27000,-9.038175046605695e-06
28000,-5.858252991512133e-06
29000,-1.5952197868776534e-06
30000,3.856156562847794e-06
31000,1.0595125051695904e-05
32000,1.8714296356345874e-05
33000,2.8299200943576538e-05
34000,3.9427777982630765e-05
35000,5.2170161971924476e-05
36000,6.65887547671579e-05
37000,8.273797271720354e-05
38000,0.0001006645820394825
39000,0.00012040758524166493
40000,0.0001419987675566969
41000,0.00016546279144883665
42000,0.0001908176372606902
43000,0.0002180746379754874
44000,0.0002472391063367126
45000,0.0002783110334869808
46000,0.0003112845413481659
47000,0.00034614936284587457
48000,0.00038289028933321785
49000,0.00042148811249315024
50000,0.00046192004294481046
51000,0.0005041595760797435
52000,0.0005481770910889561
53000,0.0005939405652977234
54000,0.0006414150410742935
55000,0.0006905636911773089
56000,0.0007413477059303395
57000,0.0007937267064427383
58000,0.0008476586986898922
59000,0.0009031007725963114
60000,0.0009600089518125184
61000,0.0010183385061719103
62000,0.0010780439252386508
63000,0.001139079896332067
64000,0.0012014001807067241
65000,0.0012649586011499625
66000,0.0013297092764112536
67000,0.0013956058247851099
68000,0.001462602788381756
69000,0.001530654460536397
70000,0.0015997156987599356
71000,0.0016697422876215014
72000,0.0017406898593544076
73000,0.001812515150624225
74000,0.0018851749691995304
75000,0.0019586281163501583
76000,0.002032832137162059
77000,0.0021077468110161
78000,0.0021833323920637656
79000,0.0022595505601199443
80000,0.002336361605110657
81000,0.0024137295502286416
82000,0.0024916174968352385
83000,0.0025699904704851264
84000,0.0026488120525797933
85000,0.0027280506640448166
86000,0.002807672519824547
87000,0.0028876462651412577
88000,0.002967939601154632
89000,0.0030485227335775513
